level,num,matter_type,density,hf,mbpt,cc,time
5, 132, 2, 0.14000000000000001, -11.252940659088082, -11.252940659088082, -11.252940659088082+ 0.00000, 305.30006564700000
6, 132, 2, 0.14000000000000001, -11.252940659088082, -11.791838698576846, -11.756700704860492+ -0.03942, 381.23578705599999
7, 132, 2, 0.14000000000000001, -11.252940659088082, -12.712142637548938, -12.564729234277136+ -0.15427, 648.97029514099995
8, 132, 2, 0.14000000000000001, -11.252940659088082, -13.014819355317316, -12.832516253325458+ -0.19692, 848.52424828400001
9, 132, 2, 0.14000000000000001, -11.252940851919128, -13.678091608959305, -13.413823346102030+ -0.29130, 1550.8421532110001
10, 132, 2, 0.14000000000000001, -11.252941033714382, -14.138368176177686, -13.820429060494682+ -0.36196, 4139.5162186210000
11, 132, 2, 0.14000000000000001, -11.252940989360816, -14.441345027019535, -14.091818738544163+ -0.41912, 3677.5271606420001
12, 132, 2, 0.14000000000000001, -11.252940740467414, -14.500717408314177, -14.145294456985056+ -0.43284, 4167.4700056649999
13, 132, 2, 0.14000000000000001, -11.252941000326356, -14.651036025652809, -14.287309944845228+ -0.46391, 5772.5520544929996
14, 132, 2, 0.14000000000000001, -11.252941089367493, -14.831175307022649, -14.461281926464405+ -0.50847, 16635.635117409998
15, 132, 2, 0.14000000000000001, -11.252940529789239, -14.839137460597284, -14.469863785954287+ -0.51129, 11020.464753042999
16, 132, 2, 0.14000000000000001, -11.252940698221007, -14.878623630133774, -14.513822087659349+ -0.52534, 15883.129388969001
23, 132, 2, 0.14000000000000001, -11.252940863817692, -14.906858773392724, -14.550127205961109+ -0.54035, 19087.303433017001
