level,num,matter_type,density,hf,mbpt,cc,time
5, 132, 2, 0.16000000000000000, -11.476665625746037, -11.476665625746037, -11.476665625746037, 330.96835496500000
6, 132, 2, 0.16000000000000000, -11.476665625746037, -12.068945591252930, -12.028910234301733, 455.50977818500002
7, 132, 2, 0.16000000000000000, -11.476665625746037, -13.071947266256274, -12.931048410554716, 718.97604603599996
8, 132, 2, 0.16000000000000000, -11.476665625746037, -13.386493299367761, -13.219340311828848, 884.43112590900000
9, 132, 2, 0.16000000000000000, -11.476665754640496, -14.041531101609781, -13.818858584467026, 1583.5921499640001
10, 132, 2, 0.16000000000000000, -11.476665874998716, -14.463927637958703, -14.213948932787952, 2091.2049046210000
11, 132, 2, 0.16000000000000000, -11.476665845471905, -14.717907757093499, -14.458292638946782, 3285.0372393170001
12, 132, 2, 0.16000000000000000, -11.476665680157042, -14.763834044969705, -14.502990869058708, 3211.4654090469999
13, 132, 2, 0.16000000000000000, -11.476665855793234, -14.877311716088766, -14.621114638280158, 3663.2176687209999
14, 132, 2, 0.16000000000000000, -11.476665914553358, -15.002025227174862, -14.755833193953238, 7459.3287153589999
15, 132, 2, 0.16000000000000000, -11.476665530723523, -15.006096925477006, -14.761129411624598, 752.95459518200005
16, 132, 2, 0.16000000000000000, -11.476665652634260, -15.026538128550754, -14.788730939042335, 1392.1692897170001
17, 132, 2, 0.16000000000000000, -11.476665644085562, -15.035063193270039, -14.801409239021453, 1870.7842743389999
18, 132, 2, 0.16000000000000000, -11.476665973714253, -15.036655953363276, -14.804175796077805, 2796.5557968889998
19, 132, 2, 0.16000000000000000, -11.476665611112995, -15.037280129894503, -14.805545901401258, 4245.0190920320001
20, 132, 2, 0.16000000000000000, -11.476665629889741, -15.038447264886747, -14.808011111859694, 4638.9750352040001
21, 132, 2, 0.16000000000000000, -11.476665894016350, -15.038588324034011, -14.808424457840498, 4868.2261180320002
22, 132, 2, 0.16000000000000000, -11.476665630509398, -15.038594744197740, -14.808482107315935, 4843.1980053930001
23, 132, 2, 0.16000000000000000, -11.476665518700552, -15.038600031882549, -14.808554318597535, 3996.5681924109999
24, 132, 2, 0.16000000000000000, -11.476665538165621, -15.038603437891140, -14.808627648868637, 5493.7216978950000
25, 132, 2, 0.16000000000000000, -11.476665568220511, -15.038603594963650, -14.808639877801422, 6144.4128952150004
26, 132, 2, 0.16000000000000000, -11.476665456628812, -15.038603582887522, -14.808645725755184, 12406.403967802000
27, 132, 2, 0.16000000000000000, -11.476665463535475, -15.038603597258419, -14.808647838520304, 15620.445893321999
